Player Name,Rounds,Fairway Percentage,Avg Distance,gir,Average Putts,Average Scrambling,Average Score,Points,Wins,Top 10,Average SG Putts,Average SG Total,SG:OTT,SG:APR,SG:ARG,Money,No Seasons,cluster
Rory Sabbatini,716.0,60.300000000000004,290.8666666666667,66.14222222222222,29.265555555555554,58.42555555555556,71.0338888888889,5232,1.0,21.0,-0.32488888888888884,0.03377777777777778,0.18966666666666665,0.072,0.09633333333333331,10992535,9,3
Russell Henley,511.0,64.78500000000001,294.3333333333333,66.25166666666667,29.16,56.596666666666664,70.60066666666667,5238,3.0,20.0,0.38566666666666666,0.5213333333333333,0.27533333333333326,0.017500000000000026,-0.15333333333333335,12867954,6,5
Russell Knox,521.0,67.615,286.90000000000003,69.01166666666667,29.501666666666665,60.05166666666667,70.51483333333333,5218,2.0,17.0,-0.10466666666666664,0.42533333333333334,0.10983333333333334,0.325,0.08833333333333333,11896740,6,4
Ryan Armour,172.0,73.155,281.15,69.09,29.595,59.22,70.8615,1228,1.0,4.0,-0.0434999999999999,0.222,0.004,0.16699999999999998,0.09449999999999995,2928209,2,4
Ryan Blaum,181.0,62.625,286.55,65.69,28.975,57.730000000000004,70.92949999999999,867,0.0,4.0,0.17949999999999997,0.006999999999999999,-0.0935,-0.053,-0.026000000000000002,1943645,2,4
Ryan Brehm,83.0,51.13,310.5,67.5,29.55,57.14,71.178,188,0.0,0.0,-0.149,-0.16,0.1369999999999999,-0.06,-0.099,396258,1,3
Ryan Moore,733.0,67.95666666666666,286.3777777777778,65.89888888888888,28.880000000000003,59.35555555555556,70.48211111111111,8402,3.0,38.0,0.16777777777777778,0.6957777777777778,0.17944444444444443,0.29866666666666664,0.049777777777777775,21847000,9,4
Ryan Palmer,707.0,57.297777777777775,302.05555555555554,65.9388888888889,28.966666666666665,57.67444444444445,70.50677777777778,6971,1.0,31.0,-0.018555555555555586,0.5217777777777778,0.39111111111111113,0.2613333333333333,-0.1122222222222222,16808602,9,5
Ryo Ishikawa,293.0,54.2625,290.075,65.1725,29.1025,55.2775,71.43275,1585,0.0,7.0,-0.22449999999999998,-0.35175,-0.28425,0.17350000000000004,-0.0165,2975912,4,3
Ryuji Imada,251.0,59.86666666666667,279.5,63.123333333333335,28.69666666666667,60.06333333333333,71.282,1087,0.0,5.0,0.24833333333333332,-0.24699999999999997,-0.476,-0.2766666666666666,0.25766666666666665,2257836,3,2
Sam Ryder,82.0,66.91,297.3,72.08,29.88,56.47,70.914,442,0.0,3.0,-0.349,0.154,0.203,0.3989999999999999,-0.099,1046166,1,3
Sam Saunders,308.0,62.1525,295.35,64.9625,28.9775,57.155,71.2025,1511,0.0,9.0,0.039,-0.10774999999999997,0.2035,-0.154,-0.19675,2748703,4,3
Sangmoon Bae,338.0,59.4725,288.35,62.35,28.75,55.35,71.236,2933,2.0,8.0,0.29425,-0.22349999999999998,0.138,-0.375,-0.281,6198335,4,2
Satoshi Kodaira,51.0,65.53,293.6,60.3,29.88,51.02,72.182,600,1.0,1.0,-0.645,-1.832,0.027,-0.284,-0.93,1471462,1,1
Scott Brown,612.0,63.06142857142857,290.0285714285714,64.83,29.025714285714287,56.879999999999995,71.16814285714285,4017,1.0,19.0,-0.02314285714285713,-0.1277142857142857,0.19099999999999998,-0.16599999999999998,-0.12985714285714284,8062834,7,3
Scott Dunlap,57.0,64.66,281.4,67.21,30.22,58.47,71.653,77,0.0,0.0,-0.688,-0.6,0.062,0.252,-0.226,230220,1,3
Scott Gardiner,61.0,58.52,288.4,64.12,29.66,51.97,72.082,161,0.0,0.0,-0.33,-0.979,0.069,-0.527,-0.19,219645,1,1
Scott Gutschewski,67.0,58.06,298.0,62.62,29.58,56.68,71.582,125,0.0,0.0,-0.638,-0.667,-0.072,-0.013,0.0559999999999999,229758,1,3
Scott Langley,333.0,62.56,281.6,64.19,28.982499999999998,60.66,71.18975,1786,0.0,2.0,0.09275,-0.08875,-0.18,-0.22925,0.22775,2760387,4,2
Scott McCarron,155.0,65.995,290.1,63.275,28.810000000000002,60.875,71.0335,575,0.0,1.0,0.513,-0.09599999999999999,0.137,-0.8845000000000001,0.136,1078813,2,2
Scott Piercy,670.0,58.2725,298.9,66.52875,29.20625,55.92375,70.898,6566,4.0,24.0,-0.110125,0.21412499999999998,0.24062499999999998,0.18324999999999997,-0.10762500000000001,15341843,8,3
Scott Pinckney,175.0,62.0,293.55,68.315,29.72,54.14,71.3135,903,0.0,3.0,0.11549999999999999,-0.228,0.317,-0.40249999999999997,-0.258,1591922,2,3
Scott Stallings,629.0,57.26,298.35,65.67375,29.37875,55.47125,71.244125,4828,3.0,16.0,-0.223875,-0.16024999999999995,0.195625,0.053375000000000006,-0.18575,9979180,8,3
Scott Verplank,74.0,68.16,278.6,63.85,28.75,59.37,70.83800000000001,786,0.0,3.0,0.034,0.36,-0.12,0.456,-0.013,1653190,1,4
Seamus Power,172.0,54.230000000000004,300.35,65.4,28.57,63.614999999999995,70.706,727,0.0,3.0,0.33599999999999997,0.358,0.004499999999999997,-0.09500000000000006,0.11299999999999995,1437198,2,5
Sean O'Hair,698.0,58.74555555555556,297.6666666666667,65.17777777777778,29.254444444444445,57.46777777777778,71.04022222222221,5066,1.0,17.0,-0.05866666666666668,0.04088888888888889,0.18388888888888888,-0.09855555555555556,0.01011111111111113,11525110,9,3
Sebastián Muñoz,51.0,54.45,296.0,63.15,28.84,56.92,71.263,241,0.0,1.0,0.358,0.1689999999999999,0.031,-0.077,-0.143,563900,1,2
Sergio Garcia,480.0,61.085,296.3,67.6925,29.15875,59.33375,69.82675,7884,3.0,28.0,-0.005250000000000005,1.05575,0.454125,0.45024999999999993,0.169125,21596658,8,5
